sk_cliente,codigo_cliente,nome_cliente,sexo,faixa_etaria,renda_faixa,estado,cidade,bairro,canal_preferido,data_cadastro,cliente_ativo,cliente_flag
1,CLI0000001,Bruno Souza,Masculino,25-34,2 a 4 SM,RJ,Rio de Janeiro,Jardins,App,2019-01-12,1,True
2,CLI0000002,Carlos Oliveira,Feminino,35-44,4 a 8 SM,MG,Belo Horizonte,Moema,Site,2019-01-23,1,True
3,CLI0000003,Daniela Santos,Masculino,45-54,8 a 12 SM,PR,Campinas,Tatuapé,WhatsApp,2019-02-03,1,True
4,CLI0000004,Eduardo Pereira,Feminino,55-64,12 a 20 SM,SC,Curitiba,Pinheiros,Loja Física,2019-02-14,1,True
5,CLI0000005,Fernanda Lima,Masculino,65+,20+ SM,RS,Porto Alegre,Vila Mariana,App,2019-02-25,1,True
6,CLI0000006,Gabriel Costa,Feminino,65+,Até 2 SM,BA,Salvador,Santana,Site,2019-03-08,1,True
7,CLI0000007,Helena Almeida,Masculino,18-24,2 a 4 SM,GO,Goiânia,Ipiranga,WhatsApp,2019-03-19,1,True
8,CLI0000008,Igor Ribeiro,Feminino,25-34,4 a 8 SM,PE,Recife,Butantã,Loja Física,2019-03-30,1,True
9,CLI0000009,Juliana Carvalho,Masculino,35-44,8 a 12 SM,CE,Fortaleza,Lapa,App,2019-04-10,1,True
10,CLI0000010,Karina Gomes,Feminino,45-54,12 a 20 SM,SP,Santos,Liberdade,Site,2019-04-21,1,True
11,CLI0000011,Lucas Martins,Masculino,55-64,20+ SM,RJ,Ribeirão Preto,Saúde,WhatsApp,2019-05-02,1,True
12,CLI0000012,Mariana Rocha,Feminino,65+,Até 2 SM,MG,São Paulo,Morumbi,Loja Física,2019-05-13,1,True
13,CLI0000013,Nicolas Dias,Masculino,65+,2 a 4 SM,PR,Rio de Janeiro,Perdizes,App,2019-05-24,1,True
14,CLI0000014,Patrícia Araujo,Feminino,18-24,4 a 8 SM,SC,Belo Horizonte,Bela Vista,Site,2019-06-04,1,True
15,CLI0000015,Rafael Barbosa,Masculino,25-34,8 a 12 SM,RS,Campinas,Centro,WhatsApp,2019-06-15,1,True
16,CLI0000016,Sabrina Moura,Feminino,35-44,12 a 20 SM,BA,Curitiba,Jardins,Loja Física,2019-06-26,1,True
17,CLI0000017,Thiago Freitas,Masculino,45-54,20+ SM,GO,Porto Alegre,Moema,App,2019-07-07,1,True
18,CLI0000018,Vanessa Mendes,Feminino,55-64,Até 2 SM,PE,Salvador,Tatuapé,Site,2019-07-18,1,True
19,CLI0000019,William Teixeira,Masculino,65+,2 a 4 SM,CE,Goiânia,Pinheiros,WhatsApp,2019-07-29,1,True
20,CLI0000020,Ana Silva,Feminino,65+,4 a 8 SM,SP,Recife,Vila Mariana,Loja Física,2019-08-09,1,True
21,CLI0000021,Bruno Souza,Masculino,18-24,8 a 12 SM,RJ,Fortaleza,Santana,App,2019-08-20,1,True
22,CLI0000022,Carlos Oliveira,Feminino,25-34,12 a 20 SM,MG,Santos,Ipiranga,Site,2019-08-31,1,True
